OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
117,45078,"Maple, Red",Acer rubrum,1,18-24in,20,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0807037,42.351162,POINT (-71.08070648599994 42.351162606000059),-71.08070649,42.35116261
118,45079,"Maple, Red",Acer rubrum,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0807419,42.3512459,POINT (-71.080744036999988 42.351246851000042),-71.08074404,42.35124685
119,45080,"Elm, Siberian",Ulmus pumila,1,18-24in,21,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0808029,42.3513107,POINT (-71.080805727999973 42.351309291000064),-71.08080573,42.35130929
120,45081,"Elm, American",Ulmus americana,1,12-18in,12,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0807877,42.3510628,POINT (-71.080790069999978 42.351063368000041),-71.08079007,42.35106337
121,45082,"Oak, Swamp White",Quercus bicolor,1,0-3in,2,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0808945,42.3512802,POINT (-71.080893334999985 42.351278440000044),-71.08089333,42.35127844
122,45083,"Zelkova, Japanese",Zelkova serrata,1,18-24in,23,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0808487,42.3510437,POINT (-71.080849077999972 42.351043546000028),-71.08084908,42.35104355
123,45084,"Sweetgum, Common",Liquidambar styraciflua,1,18-24in,21,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0808868,42.3511314,POINT (-71.080887969999935 42.351130764000061),-71.08088797,42.35113076
124,45085,"Maple, Red",Acer rubrum,1,18-24in,22,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0809326,42.3511963,POINT (-71.080929544999947 42.351196178000066),-71.08092954,42.35119618
125,45086,"Elm, Siberian",Ulmus pumila,1,12-18in,13,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0810089,42.3512573,POINT (-71.08100866999996 42.351257627000052),-71.08100867,42.35125763
126,45088,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0809784,42.3510132,POINT (-71.080980506999936 42.351014803000055),-71.08098051,42.3510148
127,45089,"Zelkova, Japanese",Zelkova serrata,1,12-18in,12,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0810242,42.3510857,POINT (-71.081022080999958 42.351086164000037),-71.08102208,42.35108616
128,45090,Elm,Ulmus species,1,>30in,42,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0810471,42.351162,POINT (-71.081048902999953 42.351163471000064),-71.0810489,42.35116347
129,45091,"Maple, Red",Acer rubrum,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0810852,42.3512268,POINT (-71.081082429999981 42.351227893000043),-71.08108243,42.35122789
130,45092,"Elm, American",Ulmus americana,1,6-12in,10,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0810852,42.3509865,POINT (-71.081083771999943 42.350988043000029),-71.08108377,42.35098804
131,45093,"Elm, English",Ulmus procera,1,>30in,47,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0811081,42.3510628,POINT (-71.081109252999966 42.351064359000077),-71.08110925,42.35106436
132,45094,"Zelkova, Japanese",Zelkova serrata,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0811539,42.3511314,POINT (-71.081153508999932 42.35113175500004),-71.08115351,42.35113176
133,45095,"Maple, Red",Acer rubrum,1,12-18in,14,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0811768,42.3512077,POINT (-71.081176307999954 42.351206089000073),-71.08117631,42.35120609
134,45096,"Maple, Red",Acer rubrum,1,18-24in,20,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0812225,42.3509445,POINT (-71.081223245999979 42.350946416000056),-71.08122325,42.35094642
135,45097,"Zelkova, Japanese",Zelkova serrata,1,12-18in,17,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0812836,42.3510284,POINT (-71.081284936999964 42.351028679000081),-71.08128494,42.35102868
