OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
296,45327,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0871124,42.2939606,POINT (-71.087108683999986 42.293962322000027),-71.08710868,42.29396232
297,45328,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0871735,42.2938385,POINT (-71.087174397999945 42.293839312000046),-71.0871744,42.29383931
298,45329,"Maple, Red",Acer rubrum,1,6-12in,9,--,Boston,Dorchester,Harambee Park,-71.0872726,42.2939301,POINT (-71.087269615999958 42.293928593000032),-71.08726962,42.29392859
299,45330,"Maple, Red",Acer rubrum,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0873795,42.294117,POINT (-71.087379586999987 42.294118068000046),-71.08737959,42.29411807
300,45331,"Dogwood, Kousa",Cornus kousa,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0874176,42.2944221,POINT (-71.087417137999978 42.294421624000051),-71.08741714,42.29442162
301,45332,"Dogwood, Kousa",Cornus kousa,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0874786,42.2943115,POINT (-71.087477486999944 42.294312503000072),-71.08747749,42.2943125
302,45333,"Dogwood, Kousa",Cornus kousa,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0874939,42.2942734,POINT (-71.087494921999962 42.29427183100006),-71.08749492,42.29427183
303,45334,"Dogwood, Kousa",Cornus kousa,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0874557,42.2943535,POINT (-71.087457370999971 42.294352184000047),-71.08745737,42.29435218
304,45335,"Dogwood, Kousa",Cornus kousa,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0874329,42.2943878,POINT (-71.087435912999979 42.294387896000046),-71.08743591,42.2943879
305,45336,"Dogwood, Kousa",Cornus kousa,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0874023,42.2944565,POINT (-71.087402384999962 42.294456345000071),-71.08740238,42.29445635
306,45337,"Dogwood, Kousa",Cornus kousa,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0873871,42.294487,POINT (-71.087387632999935 42.294487097000058),-71.08738763,42.2944871
307,45338,"Oak, White",Quercus alba,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0875473,42.2945557,POINT (-71.08754722499998 42.294557530000077),-71.08754722,42.29455753
308,45341,"Oak, Pin",Quercus palustris,1,6-12in,10,--,Boston,Dorchester,Harambee Park,-71.0873947,42.294529,POINT (-71.087391991999937 42.294528211000056),-71.08739199,42.29452821
309,45342,"Oak, Pin",Quercus palustris,1,6-12in,11,--,Boston,Dorchester,Harambee Park,-71.0873718,42.2946205,POINT (-71.087369192999972 42.294619476000037),-71.08736919,42.29461948
310,45343,"Oak, Pin",Quercus palustris,1,6-12in,10,--,Boston,Dorchester,Harambee Park,-71.0875168,42.2944946,POINT (-71.087514031999945 42.294493491000026),-71.08751403,42.29449349
311,45344,"Oak, Pin",Quercus palustris,1,12-18in,17,--,Boston,Dorchester,Harambee Park,-71.0875168,42.2944031,POINT (-71.087519396999937 42.294404210000039),-71.0875194,42.29440421
312,45345,"Linden, Littleleaf",Tilia cordata,1,18-24in,20,--,Boston,Dorchester,Harambee Park,-71.0872803,42.2945175,POINT (-71.087282020999965 42.294517299000063),-71.08728202,42.2945173
313,45346,"Oak, Northern Red",Quercus rubra,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0876694,42.2944756,POINT (-71.087665576999939 42.294476627000051),-71.08766558,42.29447663
314,45347,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0875854,42.2942772,POINT (-71.087586451999982 42.294276240000045),-71.08758645,42.29427624
315,45349,Tree of Heaven,Ailanthus altissima,1,24-30in,28,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1522446,42.3503952,POINT (-71.152245458999971 42.350394855000047),-71.15224546,42.35039486
316,45350,Tree of Heaven,Ailanthus altissima,1,18-24in,22,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1523438,42.3504372,POINT (-71.152344700999947 42.350438465000025),-71.1523447,42.35043847
317,45351,"Maple, Sugar",Acer saccharum,1,18-24in,19,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1524124,42.3503685,POINT (-71.152411755999935 42.350367104000043),-71.15241176,42.3503671
318,45352,"Maple, Sugar",Acer saccharum,1,18-24in,18,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1521912,42.3504791,POINT (-71.152189132999979 42.350480092000055),-71.15218913,42.35048009
319,45353,"Cherry, Black",Prunus serotina,2,>30in,32,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.152298,42.3505859,POINT (-71.152301784999963 42.350587134000079),-71.15230178,42.35058713
320,45354,"Walnut, Black",Juglans nigra,1,6-12in,10,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1522522,42.3505821,POINT (-71.152250822999974 42.35058317000005),-71.15225082,42.35058317
321,45355,Mulberry,Morus species,1,18-24in,21,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1522064,42.3505783,POINT (-71.152203884999949 42.350579205000031),-71.15220388,42.35057921
322,45356,"Walnut, Black",Juglans nigra,1,12-18in,13,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1521378,42.3505783,POINT (-71.152139511999962 42.350577223000073),-71.15213951,42.35057722
323,45357,"Elm, American",Ulmus americana,1,18-24in,22,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1520996,42.3505783,POINT (-71.152096595999978 42.350577223000073),-71.1520966,42.35057722
324,45366,"Maple, Norway",Acer platanoides,6,12-18in,16,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1525192,42.3502846,POINT (-71.152519043999973 42.350282858000071),-71.15251904,42.35028286
325,45367,Mulberry,Morus species,2,6-12in,10,--,Boston,Allston-Brighton,Market Street Burying Ground,-71.1524811,42.3502808,POINT (-71.152481492999982 42.350279884000031),-71.15248149,42.35027988
326,45372,"Birch, River",Betula nigra,3,6-12in,10,--,Boston,East Boston,Noyes Park,-71.0114441,42.3886452,POINT (-71.011446630999956 42.388645839000048),-71.01144663,42.38864584
327,45373,"Birch, River",Betula nigra,3,6-12in,10,--,Boston,East Boston,Noyes Park,-71.0114212,42.3886032,POINT (-71.01141980899996 42.38860225600007),-71.01141981,42.38860226
328,45374,"Birch, River",Betula nigra,3,6-12in,8,--,Boston,East Boston,Noyes Park,-71.0113983,42.3885536,POINT (-71.011397009999939 42.38855471100004),-71.01139701,42.38855471
329,45375,"Birch, River",Betula nigra,3,6-12in,8,--,Boston,East Boston,Noyes Park,-71.0113678,42.3885078,POINT (-71.011371528999973 42.388507166000068),-71.01137153,42.38850717
330,45376,Crabapple spp.,Malus spp.,3,6-12in,8,--,Boston,East Boston,Noyes Park,-71.0113373,42.3884697,POINT (-71.011335318999954 42.388468535000072),-71.01133532,42.38846854
331,45377,Crabapple spp.,Malus spp.,1,6-12in,6,--,Boston,East Boston,Noyes Park,-71.0113297,42.3884315,POINT (-71.011328613999979 42.388429904000077),-71.01132861,42.3884299
332,45378,Crabapple spp.,Malus spp.,1,6-12in,7,--,Boston,East Boston,Noyes Park,-71.0112991,42.3883858,POINT (-71.011301791999983 42.388387312000077),-71.01130179,42.38838731
333,45379,Crabapple spp.,Malus spp.,1,3-6in,5,--,Boston,East Boston,Noyes Park,-71.0112762,42.3883514,POINT (-71.011277651999933 42.38835066200005),-71.01127765,42.38835066
334,45380,Crabapple spp.,Malus spp.,1,6-12in,8,--,Boston,East Boston,Noyes Park,-71.0112457,42.3883057,POINT (-71.011246805999974 42.388306088000036),-71.01124681,42.38830609
335,45381,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0111389,42.3880844,POINT (-71.011140858999966 42.388084209000056),-71.01114086,42.38808421
336,45382,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0111084,42.3879967,POINT (-71.011105989999976 42.387998033000031),-71.01110599,42.38799803
337,45383,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,4,--,Boston,East Boston,Noyes Park,-71.0110626,42.3879089,POINT (-71.011064415999954 42.387908884000069),-71.01106442,42.38790888
338,45384,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0110245,42.3878212,POINT (-71.011024182999961 42.387822708000044),-71.01102418,42.38782271
339,45385,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,4,--,Boston,East Boston,Noyes Park,-71.0109711,42.3877068,POINT (-71.010974561999944 42.387706815000058),-71.01097456,42.38770682
340,45386,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,4,--,Boston,East Boston,Noyes Park,-71.0109482,42.3876534,POINT (-71.010949080999978 42.387652335000041),-71.01094908,42.38765234
341,45387,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,East Boston,Noyes Park,-71.0108719,42.3874817,POINT (-71.010869955999965 42.38747998100007),-71.01086996,42.38747998
342,45388,"Maple, Sugar 'Green Mountain'",Acer saccharum 'Green Mountain',1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0865784,42.2930145,POINT (-71.086575929999981 42.293013633000044),-71.08657593,42.29301363
343,45389,"Redbud, Eastern",Cercis canadensis,1,0-3in,3,Fall 2022,Boston,Dorchester,Harambee Park,-71.0866089,42.2931252,POINT (-71.08660677499995 42.293123749000074),-71.08660677,42.29312375
344,45390,"Redbud, Eastern",Cercis canadensis,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0865707,42.2931747,POINT (-71.08657190699995 42.293174342000043),-71.08657191,42.29317434
345,45391,"Redbud, Eastern",Cercis canadensis,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0865631,42.2932167,POINT (-71.086562518999983 42.293215015000044),-71.08656252,42.29321502
346,45392,"Redbud, Eastern",Cercis canadensis,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0865097,42.2931938,POINT (-71.086506191999945 42.293194183000026),-71.08650619,42.29319418
347,45393,"Redbud, Eastern",Cercis canadensis,1,0-3in,3,--,Boston,Dorchester,Harambee Park,-71.0865402,42.2932816,POINT (-71.08653703799996 42.293281481000065),-71.08653704,42.29328148
348,45394,"Maple, Sugar",Acer saccharum,1,0-3in,3,--,Boston,Dorchester,Harambee Park,-71.086647,42.2930298,POINT (-71.086645666999971 42.293028514000071),-71.08664567,42.29302851
349,45395,"Birch, Paper",Betula papyrifera,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0866699,42.2931557,POINT (-71.086672488999966 42.293157478000069),-71.08667249,42.29315748
350,45396,"Birch, Paper",Betula papyrifera,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0866547,42.2932205,POINT (-71.086656395999967 42.293221960000039),-71.0866564,42.29322196
351,45397,"Elm, Hybrid",Ulmus x,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.0869064,42.2931671,POINT (-71.086904499999946 42.293167398000037),-71.0869045,42.2931674
352,45398,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0869675,42.2931786,POINT (-71.08696753199996 42.29317831000003),-71.08696753,42.29317831
353,45399,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0870438,42.29319,POINT (-71.087045315999944 42.293191207000064),-71.08704532,42.29319121
354,45400,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0871201,42.2932053,POINT (-71.087117735999982 42.293207079000069),-71.08711774,42.29320708
355,45401,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0871964,42.2932167,POINT (-71.087194178999937 42.293217991000063),-71.08719418,42.29321799
356,45402,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.087265,42.2932281,POINT (-71.087267939999947 42.293229896000071),-71.08726794,42.2932299
357,45403,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0873489,42.2932472,POINT (-71.08734706499996 42.293245768000077),-71.08734706,42.29324577
358,45404,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0874252,42.2932549,POINT (-71.087428871999975 42.293254697000066),-71.08742887,42.2932547
359,45405,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0875549,42.2932777,POINT (-71.087556276999976 42.293279497000071),-71.08755628,42.2932795
360,45406,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0875092,42.2932739,POINT (-71.087509338999951 42.293275529000027),-71.08750934,42.29327553
361,45407,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0876236,42.2932968,POINT (-71.087620649999963 42.293295370000067),-71.08762065,42.29329537
362,45408,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0876923,42.2933083,POINT (-71.087695751999945 42.293307274000028),-71.08769575,42.29330727
363,45409,"Elm, Hybrid",Ulmus x,1,6-12in,6,--,Boston,Dorchester,Harambee Park,-71.0877533,42.2933388,POINT (-71.087753419999956 42.293338027000061),-71.08775342,42.29333803
364,45410,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0878067,42.2932777,POINT (-71.087808404999976 42.293277513000078),-71.0878084,42.29327751
365,45411,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0877228,42.2932396,POINT (-71.08772257399994 42.293239816000039),-71.08772257,42.29323982
366,45412,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0876465,42.2932243,POINT (-71.087644789999956 42.293223944000033),-71.08764479,42.29322394
367,45413,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0875702,42.2932129,POINT (-71.087571028999946 42.293214023000075),-71.08757103,42.29321402
368,45414,"Elm, Hybrid",Ulmus x,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.0874557,42.29319,POINT (-71.087453011999969 42.29318922300007),-71.08745301,42.29318922
369,45415,"Elm, Hybrid",Ulmus x,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.087059,42.2931213,POINT (-71.087062750999962 42.293120773000055),-71.08706275,42.29312077
370,45416,"Elm, Hybrid",Ulmus x,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.0869904,42.2931099,POINT (-71.08698764899998 42.293108868000047),-71.08698765,42.29310887
371,45417,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0869293,42.2930984,POINT (-71.08692863999994 42.293099940000047),-71.08692864,42.29309994
372,45418,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0872955,42.2931595,POINT (-71.087292079999941 42.293160454000031),-71.08729208,42.29316045
373,45419,"Elm, Hybrid",Ulmus x,1,3-6in,5,--,Boston,Dorchester,Harambee Park,-71.0872192,42.293148,POINT (-71.087218318999987 42.293149541000048),-71.08721832,42.29314954
374,45420,"Elm, Hybrid",Ulmus x,1,6-12in,6,--,Boston,Dorchester,Harambee Park,-71.0871353,42.2931366,POINT (-71.087137852999945 42.293135653000036),-71.08713785,42.29313565
375,45421,"Linden, Littleleaf",Tilia cordata,1,12-18in,16,--,Boston,Dorchester,Harambee Park,-71.0875168,42.2931824,POINT (-71.087520066999957 42.293181286000049),-71.08752007,42.29318129
376,45422,"Linden, Littleleaf",Tilia cordata,1,18-24in,18,--,Boston,Dorchester,Harambee Park,-71.0873871,42.2931557,POINT (-71.087384615999952 42.293157478000069),-71.08738462,42.29315748
377,45423,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0862808,42.2925148,POINT (-71.086278204999985 42.292515631000072),-71.0862782,42.29251563
378,45424,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0863113,42.2924423,POINT (-71.086313072999985 42.292442220000055),-71.08631307,42.29244222
379,45425,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0863571,42.2923813,POINT (-71.086353305999978 42.292380713000057),-71.08635331,42.29238071
380,45426,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0863724,42.2923279,POINT (-71.086370740999939 42.292329127000073),-71.08637074,42.29232913
381,45427,"Maple, Red",Acer rubrum,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.0864029,42.2922707,POINT (-71.086400244999936 42.292270596000037),-71.08640024,42.2922706
382,45428,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0863113,42.2917709,POINT (-71.086313072999985 42.291771596000046),-71.08631307,42.2917716
383,45429,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0866928,42.2915421,POINT (-71.086695287999987 42.291542431000039),-71.08669529,42.29154243
384,45430,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0866547,42.2914963,POINT (-71.086652372999936 42.291496797000036),-71.08665237,42.2914968
385,45431,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0867157,42.291481,POINT (-71.086719427999981 42.291481916000066),-71.08671943,42.29148192
386,45432,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.086525,42.2915306,POINT (-71.086522285999934 42.291530527000077),-71.08652229,42.29153053
387,45433,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0865173,42.2914658,POINT (-71.086516920999941 42.291467035000039),-71.08651692,42.29146704
388,45434,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,Dorchester,Harambee Park,-71.0865097,42.2913971,POINT (-71.086511556999938 42.291398583000046),-71.08651156,42.29139858
389,45435,"Hornbeam, American",Carpinus caroliniana,1,0-3in,2,--,Boston,Dorchester,Harambee Park,-71.086441,42.2911263,POINT (-71.086443159999988 42.291127751000033),-71.08644316,42.29112775
390,45436,"Hornbeam, American",Carpinus caroliniana,1,0-3in,2,--,Boston,Dorchester,Harambee Park,-71.0864639,42.2911873,POINT (-71.086467299999981 42.291186282000069),-71.0864673,42.29118628
391,45437,Tulip Tree,Liriodendron tulipifera,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.0863876,42.291256,POINT (-71.086384151999937 42.291256719000046),-71.08638415,42.29125672
392,45438,Tulip Tree,Liriodendron tulipifera,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.0863724,42.2913094,POINT (-71.086373422999941 42.291309298000044),-71.08637342,42.2913093
393,45439,Tulip Tree,Liriodendron tulipifera,1,3-6in,4,--,Boston,Dorchester,Harambee Park,-71.086319,42.291275,POINT (-71.086315755999976 42.291273584000066),-71.08631576,42.29127358
394,45440,"Ash, White",Fraxinus americana,1,6-12in,5,--,Boston,East Boston,Bennington St. Cemetery,-71.0215607,42.3812714,POINT (-71.021562724999967 42.381272993000039),-71.02156272,42.38127299
395,45441,"Ash, White",Fraxinus americana,1,18-24in,20,--,Boston,East Boston,Bennington St. Cemetery,-71.0217056,42.3806496,POINT (-71.021709041999941 42.380648563000079),-71.02170904,42.38064856
396,45442,"Ash, White",Fraxinus americana,1,>30in,34,--,Boston,East Boston,Bennington St. Cemetery,-71.0216599,42.3805733,POINT (-71.021656416999974 42.38057262600006),-71.02165642,42.38057263
397,45443,"Ash, White",Fraxinus americana,2,>30in,33,--,Boston,East Boston,Bennington St. Cemetery,-71.0216064,42.3804855,POINT (-71.021606222999935 42.38048612800003),-71.02160622,42.38048613
398,45444,"Ash, White",Fraxinus americana,1,24-30in,27,--,Boston,East Boston,Bennington St. Cemetery,-71.0215759,42.3804321,POINT (-71.021572412999944 42.380432103000032),-71.02157241,42.3804321
399,45445,"Ash, White",Fraxinus americana,1,18-24in,20,--,Boston,East Boston,Bennington St. Cemetery,-71.021553,42.380394,POINT (-71.021553720999975 42.380392615000062),-71.02155372,42.38039262
400,45446,"Ash, White",Fraxinus americana,1,24-30in,26,--,Boston,East Boston,Bennington St. Cemetery,-71.021492,42.3803291,POINT (-71.021488857999941 42.380328275000068),-71.02148886,42.38032828
401,45447,"Ash, White",Fraxinus americana,1,3-6in,3,--,Boston,East Boston,Bennington St. Cemetery,-71.0213852,42.3804092,POINT (-71.021384252999951 42.380409861000032),-71.02138425,42.38040986
402,45448,"Ash, White",Fraxinus americana,1,3-6in,4,--,Boston,East Boston,Bennington St. Cemetery,-71.0214005,42.3803864,POINT (-71.021401288999982 42.380386010000052),-71.02140129,42.38038601
403,45449,"Ash, White",Fraxinus americana,1,>30in,34,--,Boston,East Boston,Bennington St. Cemetery,-71.0213165,42.3807487,POINT (-71.021317540999974 42.380747815000063),-71.02131754,42.38074782
404,45450,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1320343,42.3634415,POINT (-71.132033493999984 42.363443017000066),-71.13203349,42.36344302
405,45451,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1319962,42.3635101,POINT (-71.131998625999984 42.363508418000038),-71.13199863,42.36350842
406,45452,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1319122,42.3634796,POINT (-71.131908771999974 42.363480672000037),-71.13190877,42.36348067
407,45453,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1319656,42.3634186,POINT (-71.131962415999965 42.363419235000038),-71.13196242,42.36341924
408,45454,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.131813,42.3634529,POINT (-71.131813552999972 42.363453917000072),-71.13181355,42.36345392
409,45455,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1317444,42.3634415,POINT (-71.131747838999956 42.36344202600003),-71.13174784,42.36344203
410,45456,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1318588,42.3633919,POINT (-71.131859150999958 42.363391489000037),-71.13185915,42.36339149
411,45457,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.131752,42.3633728,POINT (-71.131749179999986 42.363373652000064),-71.13174918,42.36337365
412,45458,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1316528,42.3634338,POINT (-71.131651279999971 42.363434099000074),-71.13165128,42.3634341
413,45459,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1315536,42.36343,POINT (-71.131553378999968 42.363430135000044),-71.13155338,42.36343014
414,45460,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1316299,42.3633575,POINT (-71.131631162999952 42.363358788000028),-71.13163116,42.36335879
415,45461,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1314545,42.3634262,POINT (-71.131458160999955 42.36342716200005),-71.13145816,42.36342716
416,45462,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1313782,42.3634377,POINT (-71.13137769399998 42.363439053000036),-71.13137769,42.36343905
417,45463,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1314621,42.3633614,POINT (-71.131464865999988 42.363361761000078),-71.13146487,42.36336176
418,45464,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1313477,42.3633766,POINT (-71.131346848999954 42.363375634000079),-71.13134685,42.36337563
419,45465,"Honeylocust, Thornless",Gleditsia triacanthos inermis,5,6-12in,10,--,Boston,Allston-Brighton,Smith Playground,-71.1315689,42.3633575,POINT (-71.131565448999936 42.363357798000038),-71.13156545,42.3633578
420,45466,"Redbud, Eastern",Cercis canadensis,4,6-12in,8,--,Boston,Allston-Brighton,Smith Playground,-71.1321182,42.3633652,POINT (-71.132117983999933 42.363364734000072),-71.13211798,42.36336473
421,45467,"Redbud, Eastern",Cercis canadensis,3,6-12in,6,--,Boston,Allston-Brighton,Smith Playground,-71.1320877,42.3633995,POINT (-71.132085797999935 42.363398425000071),-71.1320858,42.36339843
422,45468,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Allston-Brighton,Smith Playground,-71.1318283,42.3633118,POINT (-71.131829646999961 42.36331023300005),-71.13182965,42.36331023
423,45469,"Oak, Scarlet",Quercus coccinea,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1316986,42.3632698,POINT (-71.13169821799994 42.363271587000042),-71.13169822,42.36327159
424,45470,"Oak, Scarlet",Quercus coccinea,1,3-6in,3,--,Boston,Allston-Brighton,Smith Playground,-71.1316452,42.3632851,POINT (-71.13164859699998 42.363283478000028),-71.1316486,42.36328348
425,45471,"Redbud, Eastern",Cercis canadensis,3,6-12in,6,--,Boston,Allston-Brighton,Smith Playground,-71.1310806,42.3634949,POINT (-71.131082650999986 42.363495536000073),-71.13108265,42.36349554
426,45472,"Redbud, Eastern",Cercis canadensis,3,6-12in,6,--,Boston,Allston-Brighton,Smith Playground,-71.1310501,42.3635406,POINT (-71.131050464999987 42.363540127000078),-71.13105046,42.36354013
427,45473,"Redbud, Eastern",Cercis canadensis,4,6-12in,8,--,Boston,Allston-Brighton,Smith Playground,-71.1310425,42.3635025,POINT (-71.131041076999963 42.36350247200005),-71.13104108,42.36350247
428,45474,"Maple, Red",Acer rubrum,1,3-6in,3,--,Boston,Allston-Brighton,Smith Playground,-71.1310501,42.363472,POINT (-71.131051805999959 42.363472745000081),-71.13105181,42.36347275
429,45475,"Maple, Red",Acer rubrum,1,6-12in,9,--,Boston,Allston-Brighton,Smith Playground,-71.1309357,42.3635674,POINT (-71.130939152999986 42.363566882000043),-71.13093915,42.36356688
430,45476,"Maple, Red",Acer rubrum,1,6-12in,8,--,Boston,Allston-Brighton,Smith Playground,-71.1309662,42.3635178,POINT (-71.130969998999944 42.36351634500005),-71.13097,42.36351635
431,45477,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,6-12in,11,--,Boston,Allston-Brighton,Smith Playground,-71.1310349,42.3634377,POINT (-71.131034371999988 42.363438062000057),-71.13103437,42.36343806
432,45478,"Oak, Scarlet",Quercus coccinea,1,3-6in,5,--,Boston,Allston-Brighton,Smith Playground,-71.1310501,42.3636284,POINT (-71.131051805999959 42.363627328000064),-71.13105181,42.36362733
